#apigroup,version,name,id,sub_id
admissionregistration.k8s.io,v1,mutatingwebhookconfigurations,41,0
admissionregistration.k8s.io,v1,validatingwebhookconfigurations,42,0
apiextensions.k8s.io,v1,customresourcedefinitions,801,0
apiextensions.k8s.io,v1,customresourcedefinitions/status,801,1
apiregistration.k8s.io,v1,apiservices,800,0
apiregistration.k8s.io,v1,apiservices/status,800,1
apps,v1,controllerrevisions,39,0
apps,v1,daemonsets,16,0
apps,v1,daemonsets/status,16,1
apps,v1,deployments,16,0
apps,v1,deployments/scale,16,2
apps,v1,deployments/status,16,1
apps,v1,replicasets,17,0
apps,v1,replicasets/scale,17,2
apps,v1,replicasets/status,17,1
apps,v1,statefulsets,18,0
apps,v1,statefulsets/scale,18,2
apps,v1,statefulsets/status,18,1
authentication.k8s.io,v1,selfsubjectreviews,12,0
authentication.k8s.io,v1,tokenreviews,806,0
authorization.k8s.io,v1,localsubjectaccessreviews,27,0
authorization.k8s.io,v1,selfsubjectaccessreviews,13,0
authorization.k8s.io,v1,selfsubjectrulesreviews,14,0
authorization.k8s.io,v1,subjectaccessreviews,28,0
autoscaling,v2,horizontalpodautoscalers,803,0
autoscaling,v2,horizontalpodautoscalers/status,803,1
batch,v1,cronjobs,19,0
batch,v1,cronjobs/status,19,1
batch,v1,jobs,20,0
batch,v1,jobs/status,20,1
certificates.k8s.io,v1,certificatesigningrequests,9,0
certificates.k8s.io,v1,certificatesigningrequests/approval,9,2
certificates.k8s.io,v1,certificatesigningrequests/status,9,1
coordination.k8s.io,v1,leases,29,0
core,v1,bindings,900,0
core,v1,componentstatuses,901,0
core,v1,configmaps,3,0
core,v1,endpoints,902,0
core,v1,events,40,0
core,v1,limitranges,33,0
core,v1,namespaces,10,0
core,v1,namespaces/finalize,10,2
core,v1,namespaces/status,10,1
core,v1,nodes,15,0
core,v1,nodes/proxy,15,8
core,v1,nodes/status,15,1
core,v1,persistentvolumeclaims,21,0
core,v1,persistentvolumeclaims/status,21,1
core,v1,persistentvolumes,22,0
core,v1,persistentvolumes/status,22,1
core,v1,pods,1,0
core,v1,pods/attach,1,2
core,v1,pods/binding,1,3
core,v1,pods/ephemeralcontainers,1,7
core,v1,pods/eviction,1,0
core,v1,pods/exec,1,4
core,v1,pods/log,1,5
core,v1,pods/portforward,1,6
core,v1,pods/proxy,1,8
core,v1,pods/status,1,1
core,v1,podtemplates,35,0
core,v1,replicationcontrollers,904,0
core,v1,replicationcontrollers/scale,904,0
core,v1,replicationcontrollers/status,904,1
core,v1,resourcequotas,11,0
core,v1,resourcequotas/status,11,1
core,v1,secrets,2,0
core,v1,serviceaccounts,4,0
core,v1,serviceaccounts/token,4,2
core,v1,services,26,0
core,v1,services/proxy,26,8
core,v1,services/status,26,1
discovery.k8s.io,v1,endpointslices,23,0
events.k8s.io,v1,events,903,0
flowcontrol.apiserver.k8s.io,v1beta3,flowschemas,802,0
flowcontrol.apiserver.k9s.io,v1beta3,flowschemas/status,802,1
flowcontrol.apiserver.k8s.io,v1beta3,prioritylevelconfigurations,805,0
flowcontrol.apiserver.k9s.io,v1beta3,prioritylevelconfigurations/status,805,1
networking.k8s.io,v1,ingressclasses,24,0
networking.k8s.io,v1,ingresses,25,0
networking.k8s.io,v1,ingresses/status,25,1
networking.k8s.io,v1,networkpolicies,34,0
node.k8s.io,v1,runtimeclasses,43,0
policy,v1,poddisruptionbudgets,804,0
policy,v1,poddisruptionbudgets/status,804,1
rbac.authorization.k8s.io,v1,clusterrolebindings,8,0
rbac.authorization.k8s.io,v1,clusterroles,7,0
rbac.authorization.k8s.io,v1,rolebindings,6,0
rbac.authorization.k8s.io,v1,roles,5,0
scheduling.k8s.io,v1,priorityclasses,36,0
storage.k8s.io,v1,csidrivers,30,0
storage.k8s.io,v1,csinodes,31,0
storage.k8s.io,v1,csistoragecapacities,32,0
storage.k8s.io,v1,storageclasses,37,0
storage.k8s.io,v1,volumeattachments,38,0
storage.k8s.io,v1,volumeattachments/status,38,1
